Difficulty,Name,Desciption,,Devin,Luke,Scott,Hebah,Bob,ScottEvilTwin,,Asked By:
Medium,Interweave arrays,Combine 2 arrays so that they alternate,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
Medium,Binary to Decimal,Convert binary input to decimal,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,
Medium,Monte Carlo Method,"The area of a circle is defined as πr^2. Estimate π to 3 decimal places using a Monte Carlo method.

Hint: The basic equation of a circle is x2 + y2 = r2.",,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,Google
Medium,Bubble Sort,,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,
Medium,Selection Sort,,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,
Medium,Insertion Sort,,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,
Medium,Uniform Probability,"Given a stream of elements too large to store in memory, pick a random element from the stream with uniform probability.",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Facebook
Hard,Merge Sort,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
Hard,Quick Sort,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
Hard,Largest number,Combine digits from int[] to be the biggest,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
Hard,Caesar Cipher,Implement a caesar cipher,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
Hard,Frequency,"Given [], return frequency of each item",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
Hard,Briefcase Lock,https://edabit.com/challenge/sWo3y2WgtGDDtRtrB,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
Hard,Frequency Sort,Sort array by frequency of items,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
Hard,Roman Numeral Conv,Convert roman numerals to decimal values,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
Hard,Product of Numbers,"Given an array of integers, return a new array such that each element at index i of the new array is the product of all the numbers in the original array except the one at i.",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Uber
Hard,Missing Positive Integers,"Given an array of integers, find the first missing positive integer in linear time and constant space. In other words, find the lowest positive integer that does not exist in the array. The array can contain duplicates and negative numbers as well.

For example, the input [3, 4, -1, 1] should give 2. The input [1, 2, 0] should give 3.",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Stripe
Hard,Find the number of ways a message can be encoded or decoded,"Given the mapping a = 1, b = 2, ... z = 26, and an encoded message, count the number of ways it can be decoded.

For example, the message '111' would give 3, since it could be decoded as 'aaa', 'ka', and 'ak'.

You can assume that the messages are decodable. For example, '001' is not allowed.",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Facebook
Hard,Largest sum of non-adjacent numbers,"Given a list of integers, write a function that returns the largest sum of non-adjacent numbers. Numbers can be 0 or negative.

For example, [2, 4, 6, 2, 5] should return 13, since we pick 2, 6, and 5. [5, 1, 1, 5]should return 10, since we pick 5 and 5.",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Airbnb
